title,Vendor,price,rating,weight,dimension,delivery_time,delivery cost,review
AILTINO Women's Oval Frame Clutch | Detachable Sling Chain | Ladies Party Wedding Purse Bag,Digrwal,349 rupees ,4.0 out of 5,300 g,18x11x6 cm,118 hours,40 rupees ,646 ratings
"Kuber Industries Women's Polyester Embroidered Potli Bag, Maroon (CTKTC04387)",ETrade Online,699 rupees ,3.2 out of 5,300 g,17x6x11 cm,46 hours,99 rupees ,4 ratings
Oh-Teri Women's Handbag,Delmah Enterprises.,499 rupees ,3.5 out of 5,200 g,30x10x15 cm,94 hours,40 rupees ,5 ratings
"GM CREATIONS Women & Girl Latest Trendy Wedding Event, Evening Party Hand carry Purse Bride Party Clutch Bag stylish Elegant Party Hand Clutch Bag",GM PRODUCT,439 rupees ,4.3 out of 5,290 g,28x4x14 cm,70 hours,79 rupees ,142 ratings
ADISA Studded formal party clutch with gold chain for women and girls,Cocoblu Retail,698 rupees ,4.7 out of 5,300 g,2032x508x1207 cm,94 hours,40 rupees ,56 ratings
Craft Trade Clutch Bags for Women Rajasthani Jaipuri Embroidered Mirror Work Ethnic Hand Bags and Clutches for Ladies Purse for Girls - 13x25 Cms,CRAFT TRADE,249 rupees ,3.6 out of 5,160 g,25x2x13 cm,46 hours,99 rupees ,"2,694 ratings"
EXOTIC Party bags,UBIQUITOUSEXOTIC®,799 rupees ,4.2 out of 5,385 g,20x45x14 cm,94 hours,40 rupees ,75 ratings
Fostelo Women's Nightingale Faux Leather Handbag (Large),FOSTELO,569 rupees ,4.0 out of 5,560 g,2032x2794x254 cm,46 hours,99 rupees ,"3,140 ratings"
"LA REAT Women's Knot Design Evening Frame Clutch, Purse, Bridal Wedding Clutch Bag, Handbags Purses, Party Clutches",LA REAT,868 rupees ,4.4 out of 5,310 g,19x7x12 cm,94 hours,40 rupees ,"1,464 ratings"
ADISA SL5038 women girls sling bag,Cocoblu Retail,595 rupees ,4.0 out of 5,410 g,2032x762x1715 cm,70 hours,79 rupees ,35 ratings
