title,Vendor,price,rating,weight,dimension,delivery_time,delivery cost,review,vendor_score,best_vendor_rank
"PALAY® Shoulder Bag for Women PU Handbag with Detachable Strap, Tote Bag for Women Vintage Brown Tote Bag Large Capacity Shoulder Bag for Women",Xspace Offer,1399,3.9,550 g,28x22x6 cm,190,40,27.0,0.6164404355775647,1351.0
Nahhar Fashion White Pearls Hand Carry Crafted Attractive Stylish Design Bag for Women to Suit All Occasions (Silk),NAHHAR FASHIONS,1899,4.1,300 g,17x6x11 cm,166,40,231.0,0.6754851916567284,724.0
Lavie Flashy Envelope Clutch,Cocoblu Retail,599,3.8,300 g,23x1x13 cm,70,79,63.0,0.6239659574802652,1277.0
Lavie Flashy Envelope Clutch,Cocoblu Retail,599,3.8,300 g,23x1x13 cm,118,40,470.0,0.7561704821904092,179.0
"MaFs Handicraft Beautiful Embroidery Bling Box Clutch Bag Purse For Bridal, Casual, Party, Wedding (6Lx2Wx6H Inches)",MaFs,570,3.9,200 g,3581x1194x32 cm,94,40,3.0,0.679141278199331,683.0
Shubh Shagun Women Potli,Original Shubh Shagun,175,4.3,300 g,17x6x11 cm,46,99,286.0,0.6843818807297081,626.0
"KAAM KAAJ Designer Golden Polti Bag Ethnic Purse Women’s/Girls's Handbag for Party, Casual, Bridal Clutch",KAAM KAAJ,949,4.1,300 g,17x6x11 cm,118,40,19.0,0.6749480930977131,732.0
DUCHESS women bridal Fancy Party Hand Embroidered Box Clutch Purse with Sling For Girls and Women,DUCHESS,701,4.0,300 g,17x6x11 cm,46,99,648.0,0.7313354439214123,268.0
ADISA Women Girls Stripes Cross Body Sling Bag,Cocoblu Retail,499,4.1,300 g,1842x1397x572 cm,46,99,23.0,0.6114226460001715,1384.0
Kuber Industries Clutch Bag | Zig Zag Chicken Silk Embroidery | Moti Churi Handle | Hand Purse for Woman | Party Bags for Woman | Wedding Clutch Purse | Purple,RetailEZ Pvt Ltd,198,2.0,200 g,22x6x14 cm,214,40,1.0,0.5007450294407912,1593.0
"Kuber Industries Women's Handcrafted Embroidered Clutch Bag (Grey, CTKTC034517)",Kuber Mart Industries Pvt. Ltd.,282,3.7,300 g,17x6x11 cm,70,79,9.0,0.6122131276055179,1378.0
Diva Dale Cross-Body Spacious Travel Shopping Walk Party-Wear Casual Wear Mobile Phone Holder Wallet Holder Sling Bag For Women And Girls,AJ INTERNATIONAL IND,699,3.9,220 g,23x9x16 cm,118,40,66.0,0.6632146045175813,865.0
